x;y
163;199
-718;110
67;10
725;880
182;373
-663;424
-805;-137
-593;571
70;-84
-657;673
-620;199
620;-533
-844;-567
393;814
10;622
993;357
-754;410
14;847
-965;-343
513;624
-659;218
81;-435
-4;-250
-897;917
-169;-726
-386;-86
-64;-85
-508;685
-185;344
-660;441
-104;-974
-37;-894
581;723
-440;-392
-888;-248
-294;625
-6;561
-473;859
-903;385
-331;739
-728;173
931;404
-250;-518
-73;19
102;589
-427;582
869;156
71;2
680;-877
-43;-121
987;899
-884;311
-594;-883
603;365
-500;-761
861;1
-586;344
899;-154
721;210
-656;568
-969;-969
564;-620
-270;871
957;451
783;-207
352;-163
-456;696
-423;-526
717;797
950;947
302;-429
619;407
-850;379
-648;-16
-990;-206
888;-39
840;-885
147;-694
804;283
-317;684
390;-752
-291;116
-442;-309
-475;544
-301;872
415;442
-791;-827
-758;552
-653;421
263;-26
488;454
-597;-169
709;494
110;469
-636;153
-792;135
892;-212
906;-996
-933;723
-675;-286
42;589
398;-160
-825;-762
939;585
776;517
-67;-780
168;802
667;307
-510;846
-344;37
12;174
-699;-277
453;-756
-839;510
524;506
-852;217
-20;-762
916;-911
210;-276
254;-990
377;-349
117;-285
-324;-406
-915;-81
-87;826
-861;-808
-42;-613
896;754
-978;565
-133;-869
517;-757
975;626
-309;900
-477;-791
424;-266
498;-598
369;-542
-69;-824
230;-834
172;858
554;593
-532;-720
69;558
-385;991
-866;450
185;-449
486;510
-592;-831
245;-675
257;-637
-913;531
-172;-737
644;-602
922;282
143;574
-515;205
918;-876
744;625
-654;-137
-349;-163
-283;-426
951;-935
-353;-977
-642;939
545;372
145;-473
213;-233
-744;105
883;132
215;-938
597;689
124;-741
271;-597
-504;-781
625;733
-943;-323
197;-541
-612;546
500;299
-473;-25
871;-830
-274;-319
-642;792
874;411
1;-598
861;-294
-302;715
-253;52
-663;782
-281;956
862;-341
3;-844
-592;320
-849;-247
-49;-829
-402;-643
29;383
-565;-746
-867;-951
379;534
-404;999
-813;2
-197;-775
705;-576
346;446
155;-459
492;-193
-742;-589
-800;-284
723;-180
-760;888
-657;-823
-203;48
-428;178
-845;-742
-842;-873
-867;-365
744;-95
-848;-266
-971;-302
-916;386
-804;-996
985;-271
347;-593
-998;799
109;74
242;532
-518;-696
-17;-721
434;223
817;-507
25;-748
162;-872
-569;278
199;-170
-240;-474
152;210
-737;-513
728;-443
-404;373
276;-319
340;666
864;438
813;422
335;823
874;-126
-248;871
305;959
692;13
42;296
821;-166
-647;516
901;-404
-922;344
667;13
452;-540
-503;-221
623;-875
-130;999
298;262
122;939
-676;-449
206;-897
-573;-607
314;-710
955;-67
430;-697
-82;-573
420;-179
361;-763
78;-437
-486;420
773;928
-496;-14
309;-956
885;220
-365;-854
993;576
411;-739
-317;818
910;606
532;-769
138;-580
-657;747
-153;604
992;-783
840;-248
-911;199
347;882
673;228
-615;-333
-362;309
-446;598
-240;-614
732;431
-286;348
-683;621
-660;-35
432;44
-440;-919
756;59
-823;746
-368;-951
838;422
-590;-459
-520;407
992;916
280;226
-70;716
-471;-813
434;199
-261;-681
-178;284
688;47
-890;-724
-663;-757
-721;884
-564;940
-436;-968
-408;-738
-976;-897
-746;312
-794;-100
411;-816
-348;679
401;347
-295;501
580;784
101;923
868;-385
855;-516
-75;-783
284;62
-925;479
629;751
-686;-603
-92;-97
-712;775
-245;219
365;-891
-858;117
-77;494
-188;-574
-336;-871
57;-370
-158;-524
587;-352
-203;-327
523;768
-543;-786
-124;359
279;-271
-505;360
845;876
625;-365
-678;776
-563;-900
586;-324
806;-996
-968;611
-628;-332
138;-721
966;915
-55;147
566;-674
-199;448
58;-346
-221;-57
430;-186
-40;858
-919;-448
218;-420
114;-597
-181;-764
-525;398
-826;261
745;388
-135;30
200;-922
-158;800
-9;-44
478;50
991;-740
671;-719
681;22
808;702
-612;769
-764;712
542;-493
909;-442
-893;-333
896;-855
-733;-636
-160;958
602;475
-848;-71
557;548
748;885
242;-27
-298;261
-856;-831
158;702
-786;933
-346;-561
790;-656
129;-869
-429;764
-945;859
-281;-386
535;-982
-995;418
-408;-554
-468;588
432;159
721;-278
490;-237
-277;-245
102;500
-919;936
117;-434
380;-578
-823;-135
1;77
637;112
-716;-143
-852;-623
305;-761
564;-870
-366;-862
165;722
908;605
-44;-856
-577;115
-367;-348
-166;-345
-178;843
882;835
371;828
506;127
-560;-13
723;-613
-590;-855
-76;881
717;707
934;533
652;-796
54;-65
-397;346
346;971
212;663
705;-544
806;-890
245;618
-699;3
485;-860
-169;-922
52;-479
-727;502
462;12
868;-332
264;-336
-436;-156
-587;218
513;732
-571;-491
-376;-204
775;911
387;743
24;139
416;139
214;481
896;294
958;-188
-496;-667
702;-271
-830;-302
138;481
462;431
863;-158
-116;-418
675;696
563;-507
125;-760
149;-385
484;917
863;-439
-775;36
-590;689
-507;885
-441;-285
-862;-241
-847;807
-463;553
-763;-705
-483;-34
-105;-239
731;-644
637;-334
192;311
-305;-518
859;-747
-309;-146
11;-461
-669;699
-919;95
-231;188
-492;-391
-556;-118
-277;-875
-650;-1
-565;-660
-271;765
524;-337
626;7
263;-746
142;171
295;-132
410;-63
-853;975
158;426
-896;351
108;865
-946;-704
-961;-701
395;388
231;-998
-248;677
945;712
901;-696
-812;-65
-633;-240
447;328
-207;956
276;-113
-459;-100
-593;-741
-914;-886
-444;317
-503;-865
296;-460
480;655
322;-135
176;978
563;-418
834;760
-39;-987
-87;164
240;-324
181;142
314;-856
303;654
-767;414
-668;-10
-380;-914
-824;-121
-820;-891
-764;299
-383;-871
179;401
-164;-115
-156;2
-571;-283
91;262
999;726
989;763
-891;-693
294;982
-904;-713
-456;331
343;-495
232;-278
-258;-297
309;-264
-371;436
362;39
-753;-672
401;378
192;-96
934;-801
775;-856
14;128
906;-692
466;-123
237;-1
334;-608
486;-150
774;-260
507;342
-239;-258
-81;637
-744;332
-74;643
-659;-378
-491;-230
-691;-524
633;364
-420;-921
-371;531
-194;507
273;569
111;214
740;-183
275;-199
-721;497
-881;-778
20;-198
-377;-395
-537;-589
227;-720
920;-206
281;-192
889;624
559;-617
-691;-33
-83;54
346;415
774;20
843;-964
-678;22
49;-460
881;-523
446;-164
-382;327
-660;722
744;-974
617;-145
80;-518
773;385
-997;996
487;-364
-776;310
-82;895
-570;410
448;-613
-408;905
589;-758
-842;180
-739;-262
-920;-884
209;-399
792;-925
-503;-516
-213;70
818;517
-889;-644
-495;-548
-389;-284
886;-564
-33;-426
103;418
573;-547
-668;776
116;524
912;887
-4;-377
811;-132
556;489
-100;819
-662;105
399;914
685;611
7;-219
-710;821
563;964
228;919
908;582
154;-756
-896;-859
769;-565
630;-270
486;103
123;457
-892;903
-399;-980
-95;961
202;-157
188;171
413;-674
935;-298
436;-648
-335;167
641;-951
439;8
-422;-768
-968;128
-617;838
-206;-600
-756;-229
651;-287
393;565
867;688
-121;551
-46;763
764;717
-645;105
-461;656
335;-886
867;255
95;716
-768;-7
-186;-682
406;98
532;-681
-661;83
343;-284
-168;-596
571;669
95;377
523;385
751;-452
-193;-758
543;-961
-680;973
-393;840
689;-291
-705;481
-17;617
-718;685
40;368
-973;-523
456;-209
296;637
-463;403
-692;-333
958;779
47;-464
-952;355
-379;-162
988;-761
-742;-25
865;-209
-892;983
314;858
-482;-483
954;-111
-415;529
-40;451
205;-188
563;949
730;544
350;125
579;-141
-552;-153
-708;385
386;-307
902;-327
91;843
-949;440
36;-750
869;-232
362;-879
-491;369
-785;-96
-23;315
-206;739
-207;-932
344;863
-297;-749
439;146
39;-440
-900;626
-437;-348
933;-633
-846;-644
-809;209
-223;-73
680;596
-878;-446
-991;338
735;258
353;454
469;-670
740;706
295;420
-338;-271
234;946
-426;136
-756;-595
-143;-349
-329;-953
414;140
296;146
457;-628
904;-164
134;-243
654;-455
102;733
-278;941
195;-742
531;-311
170;-93
-397;-625
-458;-844
140;68
812;-309
707;-510
-753;-696
-921;-670
892;695
201;-270
-844;492
4;-21
-707;670
430;-624
180;-337
-465;-845
-110;226
-243;688
94;-601
89;465
